CountryName,code,CoverageType,ppp_2005_v1_v1,ppp_2011_v1_v1,ppp_2011_v1_v2,ppp_2011_v2_v1,ppp_2011_v2_v2,ppp_2017_v1_v1,ppp_2017_v1_v2,ppp_2021_v1_v1,ppp_2021_v1_v2,source_ppp_2011,source_ppp_2005,datalevel,ppp_domain,ppp_domain_value,oldicp2005,oldicp2011,Seriesname,note_may192020,note_2017_v1_v2,source_2017_v2_v1,method_2017_v2_v1,ref_2017_v2_v1,link_2017_v2_v1,source_2021_v1_v1,method_2021_v1_v1,ref_2021_v1_v1,link_2021_v1_v1,note_2021_v1_v1
"Bahamas, The",BHS,National,1.2070000171661377,1.15089905261993408,1.15089916099999989,1.12523388862609997,1.12523388862609997,1.10285294055939009,1.10285294055939009,1.17249500751495006,1.17249500751495006,1,4,2,1,1,1.207,1.1509,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Bosnia and Herzegovina,BIH,National,.868047595024108887,.866935670375823975,.866935652000000001,.854462325572967973,.854462325572967973,.78186690807342496,.78186690807342496,.749401926994323953,.749401926994323953,1,1,2,1,1,.868,.866936,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Belarus,BLR,National,759.62347412109375,1832.43505859375,1832.43476299999998,.185265585780143988,1852.65585780143988,.616520941257477029,6165.20941257499999,.739586234092711958,7395.86234092711948,1,1,2,1,1,759.6,1832.43,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,Multiply ICP PPP by currency,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,Multiply ICP PPP by currency,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Belize,BLZ,National,1.72399997711181641,1.18261098861694336,1.18261122899999993,1.17402327060698997,1.17402327060698997,1.47700285911559992,1.30902370000000001,1.11653864383697998,1.11653864383697998,1,4,2,1,1,1.724,1.18261,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,Revised 2017 - Dec 9 2021,PIP,Average of official and imputed PPP,Jolliffe et al. (2022),https://documents1.worldbank.org/curated/en/353811645450974574/pdf/Assessing-the-Impact-of-the-2017-PPPs-on-the-International-Poverty-Line-and-Global-Poverty.pdf,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Bermuda,BMU,National,,1.9000929594039917,1.90009264199999994,1.8262528181076001,1.8262528181076001,1.57566356658935991,1.57566356658935991,1.44135057926178001,1.44135057926178001,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Bolivia,BOL,National,2.57079529762268066,2.90610599517822266,2.90610572699999992,2.8910250663757302,2.8910250663757302,2.61193394660950018,2.61193394660950018,2.44783234596251997,2.44783234596251997,1,1,2,1,1,2.571,2.90611,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Bonaire,BON,National,,,,.917663455009460005,.917663455009460005,.811898231506347989,.811898231506347989,.715788066387176958,.715788066387176958,,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Brazil,BRA,National,1.57131838798522949,1.658782958984375,1.65878263599999998,1.65122139453888006,1.65122139453888006,2.32737708091736018,2.32737708091736018,2.44986319541931019,2.44986319541931019,1,1,2,1,1,1.571,1.65878,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Barbados,BRB,National,,2.41288089752197266,2.41288089400000017,2.39308571815490989,2.39308571815490989,2.37052273750304998,2.37052273750304998,2.63730001449585005,2.63730001449585005,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Brunei Darussalam,BRN,National,1.07945442199707031,.852739393711090088,.852739404000000034,.831949889659882036,.831949889659882036,.696616053581238015,.696616053581238015,.606373310089110995,.606373310089110995,1,1,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Bhutan,BTN,National,18.4642848968505859,16.9629096984863281,16.9629066299999991,17.0435848236083984,17.0435848236083984,20.4737873077393005,20.4737873077393005,21.3611602783202983,21.3611602783202983,1,1,2,1,1,18.464,16.9629,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Botswana,BWA,National,3.38444614410400391,4.43805313110351563,4.43805273899999975,4.26192188262939009,4.26192188262939009,5.00866317749022993,5.00866317749022993,5.0984239578247097,5.0984239578247097,1,1,2,1,1,3.38445,4.43805,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Central African Republic,CAF,National,307.46551513671875,267.869110107421875,267.869100500000002,265.661407470703011,265.661407470703011,306.808258056641023,306.808258056641023,276.326538085938012,276.326538085938012,1,1,2,1,1,,267.869,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Canada,CAN,National,1.25999331474304199,1.28458404541015625,1.28458415100000001,1.28234505653380992,1.28234505653380992,1.28666484355927002,1.28666484355927002,1.24824464321136008,1.24824464321136008,1,1,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
